"t","g","y","pres","gop","s","l"
-53,0,0.86044416560952,0.02121677452737,0.00294943832511182,0,0
-53,1,0.691182104489773,0.0100643218640909,0.00236807573272727,0,0
-52,0,0.823746687998379,0.0467156219984441,0.00785253912972364,0,0
-52,1,0.836522752585909,0.0177605679954545,0.0100643218640909,0,0
-51,0,1.08248205053723,0.0640576326081391,0.0135033598469441,0,0
-51,1,0.987487580547273,0.0284169087927273,0.01302441653,0,0
-50,0,0.966577175817824,0.0616244347927618,0.0115739701437045,0,0
-50,1,0.915557280165682,0.0142084543963636,0.0106563407972727,0,0
-49,0,1.16735566085497,0.0624947026245391,0.0173491148368932,0,0
-49,1,1.23465548515068,0.0219047005277273,0.0142084543963636,0,0
-48,0,1.88836634328364,0.0618618343849677,0.0124247013506868,0,0
-48,1,1.55848984160114,0.019536624795,0.0106563407972727,0,0
-47,0,1.21698075990054,0.0378323779060509,0.00542762957941091,0,0
-47,1,1.19025406516205,0.0136164354631818,0.00296009466590909,0,0
-46,0,1.71549770282295,0.0347615756996368,0.00530093752771,0,0
-46,1,1.14141250317455,0.0142084543963636,0.000592018933181818,0,0
-45,0,0.946291055053416,0.0388565706604555,0.00630500163838636,0,0
-45,1,1.43653394136568,0.0100643218640909,0.00473615146545454,0,0
-44,0,0.969782366322071,0.0439816785650105,0.00482613834329818,0,0
-44,1,1.13134818131045,0.0106563407972727,0.00236807573272727,0,0
-43,0,1.02914558479954,0.0475403043723664,0.00404052921896591,0,0
-43,1,1.41699731657068,0.00828826506454545,0.00177605679954545,0,0
-42,0,1.26267751731498,0.0529732621221759,0.00524351169119136,0,0
-42,1,1.43386985616636,0.0183525869286364,0.000592018933181818,0,0
-41,0,1.22351605690393,0.0465528167918191,0.00429213726556818,0,0
-41,1,1.12631602037841,0.0230887383940909,0.00118403786636364,0,0
-40,0,1.17030361913275,0.0493767471030964,0.00302166463496,0,0
-40,1,2.02884888401409,0.006512208265,0.00355211359909091,0,0
