"t","g","y","pres","gop","s","l"
-53,0,0.653864543736886,0.375152245382733,0.033901564663225,0,0
-53,1,0.652771860405338,0,0,0,0
-52,0,0.420491508295669,0.764097843989683,0.10606123662325,0,0
-52,1,0.556984685237163,0.0567627704700293,0.0922395020137977,0,0
-51,0,0.465986868827397,1.07018398840301,0.122153482051503,0,0
-51,1,0.482483548995249,0.063858116778783,0.085144155705044,0,0
-50,0,0.459331433989786,1.17428690944504,0.201103400429005,0,0
-50,1,0.56053235839154,0.0283813852350147,0.163192965101334,0,0
-49,0,0.55236206711701,1.27716233557566,0.226419596058638,0,0
-49,1,0.617295128861569,0.0567627704700293,0.276718506041393,0,0
-48,0,0.432865792258135,0.776053502519933,0.135350826185785,0,0
-48,1,0.592461416780931,0.0354767315437683,0.13481157986632,0,0
-47,0,0.414371772104369,0.594582925327249,0.0756009149197703,0,0
-47,1,0.482483548995249,0.021286038926261,0.106430194631305,0,0
-46,0,0.329997461473824,0.683076084490024,0.054208445798878,0,0
-46,1,0.56053235839154,0.0354767315437683,0.021286038926261,0,0
-45,0,0.356413435781314,0.641837931743548,0.0736425993385543,0,0
-45,1,0.659867206714091,0.0496674241612757,0.127716233557566,0,0
-44,0,0.50314519744634,0.56918158554191,0.102797377321223,0,0
-44,1,0.737916016110381,0.042572077852522,0.0780488093962904,0,0
-43,0,0.50875406870341,1.00731922010745,0.07981555062717,0,0
-43,1,0.50376958792151,0.0141906926175073,0.127716233557566,0,0
-42,0,0.51934032539607,0.786292087243464,0.0574297330230522,0,0
-42,1,0.553437012082786,0.0283813852350147,0.0141906926175073,0,0
-41,0,0.418338070690962,0.768546626125271,0.0471414808753594,0,0
-41,1,0.461197510068988,0.0141906926175073,0.0283813852350147,0,0
-40,0,0.608780713291065,1.00278529381616,0.0395565556713017,0,0
-40,1,0.532150973156525,0.0354767315437683,0.063858116778783,0,0
-39,0,0.75776524740912,0.858529808012885,0.0627299567156912,0,0
-39,1,0.666962553022845,0.042572077852522,0.063858116778783,0,0
-38,0,0.646563432385178,0.957318314669662,0.0705348376553202,0,0
-38,1,0.663414879868468,0.042572077852522,0.0993348483225514,0,0
-37,0,0.75059185229097,0.800979454102584,0.0660647694808054,0,0
-37,1,0.510864934230264,0.0354767315437683,0.063858116778783,0,0
-36,0,0.488851622307356,0.605133705288365,0.0743166572378859,0,0
-36,1,0.532150973156525,0,0.120620887248812,0,0
-35,0,0.650462325181838,0.637637486728766,0.0741108921949321,0,0
-35,1,0.56053235839154,0.0141906926175073,0.0567627704700293,0,0
-34,0,0.641192255229451,0.778033104140075,0.0998173318715466,0,0
-34,1,0.574723051009047,0.042572077852522,0.0567627704700293,0,0
-33,0,0.614229939256188,0.728053484741214,0.0858465949896106,0,0
-33,1,0.542793992619656,0.0283813852350147,0.042572077852522,0,0
-32,0,0.919705883886959,0.995150701187937,0.102740614550753,0,0
-32,1,0.592461416780931,0.063858116778783,0.0567627704700293,0,0
-31,0,0.887304984968036,0.584990017117814,0.0792833996540135,0,0
-31,1,0.574723051009047,0.120620887248812,0.141906926175073,0,0
-30,0,0.733449495609021,0.715331528809619,0.121685189195125,0,0
-30,1,0.56053235839154,0.085144155705044,0.106430194631305,0,0
-29,0,0.684211339899425,0.90484113337012,0.0720035743412322,0,0
-29,1,0.439911471142727,0.120620887248812,0.063858116778783,0,0
-28,0,0.738597169356022,0.638041921468365,0.112177425141395,0,0
-28,1,0.482483548995249,0.042572077852522,0.227051081880117,0,0
-27,0,0.732633530783514,0.775861928169596,0.101945935764173,0,0
-27,1,0.702439284566613,0.063858116778783,0.106430194631305,0,0
-26,0,0.676786059987314,0.946242479081698,0.116235963230003,0,0
-26,1,0.482483548995249,0.0780488093962904,0.120620887248812,0,0
-25,0,0.649387380216062,0.674093376063142,0.13065370692939,0,0
-25,1,0.592461416780931,0.0922395020137977,0.085144155705044,0,0
-24,0,0.600472062763514,0.662166098918127,0.173786317140304,0,0
-24,1,0.603104436244062,0.120620887248812,0.191574350336349,0,0
-23,0,0.729550602812361,0.726740845674094,0.142573888728096,0,0
-23,1,0.539246319465279,0.0283813852350147,0.21286038926261,0,0
-22,0,1.05024606527541,0.908388806524497,0.117655032491753,0,0
-22,1,0.645676514096584,0.063858116778783,0.085144155705044,0,0
-21,0,0.68708495515447,0.907941799707046,0.139274552694526,0,0
-21,1,0.879822942285455,0.063858116778783,0.13481157986632,0,0
-20,0,0.676470317076575,1.0230070307961,0.364594370075307,0,0
-20,1,1.51130876376453,0.13481157986632,0.596009089935308,0,0
-19,0,0.703599373688094,1.27631089401861,0.313018297756977,0,0
-19,1,1.34102045235444,0.0709534630875367,0.404434739598959,0,0
-18,0,0.698206910493442,0.862269055517598,0.0886776381668033,0,0
-18,1,1.00044382953427,0.0496674241612757,0.0993348483225514,0,0
-17,0,0.691853027873953,0.958716097892487,0.092317550823194,0,0
-17,1,0.879822942285455,0.106430194631305,0.0283813852350147,0,0
-16,0,0.670971423687291,1.10706559851591,0.185039536385987,0,0
-16,1,0.84079853758731,0.0354767315437683,0.113525540940059,0,0
-15,0,1.42028966131584,1.54013006047069,0.129447498056902,0,0
-15,1,0,0.0922395020137977,0.262527813423886,0,0
-14,0,0.719287184376749,1.96316170274489,0.0960638936742159,0,0
-14,1,1.09268333154806,0.042572077852522,0.0780488093962904,0,0
-13,0,0.706941281799517,0.914086369610426,0.0939494804742073,0,0
-13,1,0.929490366446731,0.0354767315437683,0.0496674241612757,0,0
-12,0,0.585256092604392,1.08355871619501,0.132952599133426,0,0
-12,1,0.0780488093962904,0.0283813852350147,0.0780488093962904,0,0
-11,0,0.457149614999845,1.2633335056199,0.107090061838019,0,0
-11,1,0,0.0922395020137977,0.0993348483225514,0,0
-10,0,0.623535485940118,1.11311792891728,0.194377012128307,0,0
-10,1,0.759202055036643,0.0496674241612757,0.13481157986632,0,0
-9,0,2.08361230168229,1.06982922108757,0.297486584687115,0,0
-9,1,2.22793874094865,0.0922395020137977,0.312195237585161,0,0
-8,0,1.00602077173295,0.662840156817459,0.195093642105491,0,0
-8,1,1.23104258456876,0.042572077852522,0.120620887248812,0,0
-7,0,0.937231389269581,0.542396653226365,0.162561479279855,0,0
-7,1,1.66740638255711,0.0283813852350147,0.170288311410088,0,0
-6,0,0.867675709404869,0.427288850059455,0.11830070900585,0,0
-6,1,0.901108981211716,0.0141906926175073,0.0993348483225514,0,0
-5,0,0.64746454136639,0.551109738493515,0.210774357447836,0,0
-5,1,0.581818397317801,0.00709534630875367,0.149002272483827,0,0
-4,0,0.732331978565392,0.391138060616355,0.169635539549683,0,0
-4,1,0.624390475170323,0.0141906926175073,0.13481157986632,0,0
-3,0,0.640585603120053,0.391081297845885,0.108700705450106,0,0
-3,1,0.596009089935308,0.021286038926261,0.0496674241612757,0,0
-2,0,0.78127922507633,0.442082647113206,0.0985188834970447,0,0
-2,1,0.794678786580411,0.0496674241612757,0.0780488093962904,0,0
-1,0,1.0020509254732,0.676292933418856,0.212945533418315,0,0
-1,1,0.677605572485975,0.0496674241612757,0.198669696645103,0,0
0,0,1.47536019169123,1.69085650210754,0.352553567389352,1,0
0,1,2.14279458524361,0.0283813852350147,0.219955735571364,1,0
1,0,1.20394900468879,0.994781743179882,0.202621804539078,1,0
1,1,2.0221736979948,0.0780488093962904,0.0993348483225514,1,0
2,0,1.0133963842209,0.337575291331573,0.141623112322723,1,0
2,1,1.92638652282662,0.0354767315437683,0.170288311410088,1,0
3,0,0.731026434844582,0.211001408529717,0.25168612426411,1,0
3,1,1.90864815705474,0.0141906926175073,0.234146428188871,1,0
4,0,0.619952336054197,0.470648511352248,0.217841322371355,1,0
4,1,2.0221736979948,0.0283813852350147,0.234146428188871,1,0
5,0,0.744919122917121,0.570770943115071,0.248315834767452,1,0
5,1,1.95476790806164,0.0780488093962904,0.432816124833974,1,0
6,0,0.45353098838238,0.154763693686535,0.181754391045034,1,0
6,1,1.2558762966494,0.0283813852350147,0.234146428188871,1,0
7,0,0.48031946837108,0.197953066667919,0.243505189970117,1,0
7,1,1.15654144832685,0.0141906926175073,0.319290583893915,1,0
8,0,0.432078208817863,0.0896567959574114,0.16190870741945,1,0
8,1,1.09623100470244,0.0141906926175073,0.255432467115132,1,0
9,0,0.480330111390543,0.112496715725289,0.145830652683814,1,0
9,1,1.28425768188441,0,0.063858116778783,1,0
10,0,0.440975773089041,0.0908275280983557,0.0995902807896665,1,0
10,1,0.642128840942207,0,0.0709534630875367,1,0
11,0,0.375680848682735,0.0851086789735002,0.130703374353551,1,0
11,1,1.64612034363085,0,0.0922395020137977,1,0
12,0,0.420991730210436,0.0647095583358334,0.101782742799071,0,1
12,1,1.03237288792366,0.0496674241612757,0.0780488093962904,0,1
13,0,0.36913539171291,0.0761472565855444,0.12240181917231,0,1
13,1,0.69534393825786,0.00709534630875367,0.141906926175073,0,1
14,0,0.423060023659438,0.044906446788102,0.122728205102512,0,1
14,1,0.688248591949106,0,0.0709534630875367,0,1
15,0,0.420910133727885,0.0522430348713533,0.168549951564443,0,1
15,1,0.666962553022845,0,0.085144155705044,0,1
16,0,0.419498159812443,0.0985756462675147,0.205835996416944,0,1
16,1,0.823060171815426,0,0.0922395020137977,0,1
17,0,0.386093269390831,0.175049288783262,0.297820065963626,0,1
17,1,1.81995632819532,0.021286038926261,0.418625432216466,0,1
18,0,0.471407713407285,0.0667884948042983,0.197626680737716,0,1
18,1,2.10022250739109,0.00709534630875367,0.219955735571364,0,1
19,0,0.353862658783317,0.0834767493224869,0.16424307635503,0,1
19,1,2.53303863222506,0,0.127716233557566,0,1
20,0,0.440255595438702,0.0521082232914869,0.139246171309291,0,1
20,1,1.12106471678308,0,0.21286038926261,0,1
21,0,0.348860439635646,0.111084741809847,0.157743739136212,0,1
21,1,1.14944610201809,0,0.184479004027595,0,1
22,0,0.426565124735962,0.0944390593695113,0.125793394707894,0,1
22,1,1.90155281074598,0.00709534630875367,0.0709534630875367,0,1
23,0,0.378107457120329,0.0661357229438929,0.105266557836669,0,1
23,1,0.844346210741687,0,0.106430194631305,0,1
24,0,0.365311000052491,0.0890182147896235,0.124615567220641,0,1
24,1,1.77383657718842,0,0.0354767315437683,0,1
25,0,0.379593932172013,0.115157470591072,0.0722661021546561,0,1
25,1,1.81995632819532,0,0.0567627704700293,0,1
26,0,0.356140264948427,0.110105584019239,0.149413802569735,0,1
26,1,1.0713972926218,0,0.141906926175073,0,1
27,0,0.343606335694014,0.0813765268150958,0.0829800750808741,0,1
27,1,0.830155518124179,0,0.0496674241612757,0,1
28,0,0.311592133148917,0.091969878854065,0.10856589387024,0,1
28,1,1.36585416443508,0,0.0354767315437683,0,1
29,0,0.347019197268524,0.118790287901154,0.0802554620983127,0,1
29,1,1.86252840604784,0,0.0709534630875367,0,1
30,0,0.440681316217227,0.0670723086566484,0.0713224210955919,0,1
30,1,1.32682975973694,0,0.0354767315437683,0,1
31,0,0.450699945205187,0.0598350554217197,0.0654332836593263,0,1
31,1,2.16053295101549,0,0.0709534630875367,0,1
32,0,0.361458227006838,0.0419618780699692,0.0615379385358206,0,1
32,1,1.90864815705474,0,0.021286038926261,0,1
33,0,0.645105338718729,0.0443601051223279,0.0744798502029873,0,1
33,1,2.13215156578048,0,0.0283813852350147,0,1
34,0,0.307391688134135,0.029956552115558,0.0743876107009735,0,1
34,1,1.98669696645103,0,0,0,1
35,0,0.43594162488298,0.0436292844525263,0.107047489760167,0,1
35,1,1.24878095034065,0,0.0993348483225514,0,1
36,0,0.366038273049139,0.0909481489856045,0.0784958162137418,0,1
36,1,0.933038039601107,0.00709534630875367,0.085144155705044,0,1
