"t","g","y","pres","gop","s","l"
-53,0,0.0954498076834999,0.037813778012515,0.00656356629029529,0,0
-53,1,0.0813791662728883,0,0,0,0
-52,0,0.29161214642729,0.0784733793508587,0.0200174392828387,0,0
-52,1,0.30593671531161,0.00489498744498576,0.00795435459810187,0,0
-51,0,0.344468832731677,0.109681983679796,0.0238257395150376,0,0
-51,1,0.332859146259032,0.00550686087560899,0.00734248116747865,0,0
-50,0,0.37294419844602,0.121939644115471,0.0368837303979677,0,0
-50,1,0.34203724771838,0.00244749372249288,0.0140730889043341,0,0
-49,0,0.424552051078505,0.130471607232081,0.0380628104987787,0,0
-49,1,0.428311401436254,0.00489498744498576,0.0238630637943056,0,0
-48,0,0.330705963656669,0.0795980027163441,0.0242754664865457,0,0
-48,1,0.380585273847643,0.0030593671531161,0.0116255951818412,0,0
-47,0,0.236409537389894,0.0583109260649623,0.0139831435100325,0,0
-47,1,0.265553068890478,0.00183562029186966,0.00917810145934831,0,0
-46,0,0.28915731022363,0.0671372003017023,0.0108111916456817,0,0
-46,1,0.293087373268523,0.0030593671531161,0.00183562029186966,0,0
-45,0,1.33536970744817,0.0655004388747851,0.014899729909106,0,0
-45,1,0.244137498818665,0.00428311401436254,0.011013721751218,0,0
-44,0,0.318127069669917,0.0591094208919256,0.0197622880622688,0,0
-44,1,0.219662561593736,0.00367124058373932,0.00673060773685543,0,0
-43,0,0.306927338395789,0.0990066279357127,0.0144542860516123,0,0
-43,1,0.282685524947928,0.00122374686124644,0.011013721751218,0,0
-42,0,0.244510741611345,0.0772263812992485,0.0135364759056775,0,0
-42,1,0.228840663053084,0.00244749372249288,0.00122374686124644,0,0
-41,0,0.203002471824727,0.0748315086917893,0.00891683150447219,0,0
-41,1,0.203141978966909,0.00122374686124644,0.00244749372249288,0,0
-40,0,0.228772745102285,0.0987092574484298,0.00863904096696925,0,0
-40,1,0.267388689182347,0.0030593671531161,0.00550686087560899,0,0
-39,0,0.242049174799948,0.0838303312359649,0.0123268021333354,0,0
-39,1,0.21476757414875,0.00367124058373932,0.00550686087560899,0,0
-38,0,0.228891448547826,0.0934930364523669,0.0145387245850383,0,0
-38,1,0.211708206995634,0.00367124058373932,0.00856622802872509,0,0
-37,0,0.238119723628486,0.0789377912847017,0.0124816061112831,0,0
-37,1,0.238630637943056,0.0030593671531161,0.00550686087560899,0,0
-36,0,0.239987161338748,0.0596503170045965,0.01525706399259,0,0
-36,1,0.200082611813793,0,0.0104018483205947,0,0
-35,0,0.243089971505438,0.0639016136005667,0.015674361672275,0,0
-35,1,0.174383927727618,0.00122374686124644,0.00489498744498576,0,0
-34,0,0.239339799249148,0.076369758496376,0.0202046725526094,0,0
-34,1,0.220886308454983,0.00367124058373932,0.00489498744498576,0,0
-33,0,0.229549212485746,0.072464170388708,0.0175167125718816,0,0
-33,1,0.253315600278013,0.00244749372249288,0.00367124058373932,0,0
-32,0,0.264806583305117,0.0984938780008504,0.0184565501613188,0,0
-32,1,0.298594234144132,0.00550686087560899,0.00489498744498576,0,0
-31,0,0.21724137842876,0.0585055018159005,0.0153121326013461,0,0
-31,1,0.21843881473249,0.0104018483205947,0.0122374686124644,0,0
-30,0,0.20341732201069,0.0703880838386034,0.0222134530253454,0,0
-30,1,0.23740689108181,0.00734248116747865,0.00917810145934831,0,0
-29,0,0.262259354213433,0.089496279203536,0.0157208640530024,0,0
-29,1,0.326128538522177,0.0104018483205947,0.00550686087560899,0,0
-28,0,0.239741800093068,0.0648836704567169,0.0224129237637286,0,0
-28,1,0.234347523928693,0.00367124058373932,0.0195799497799431,0,0
-27,0,0.209111416156069,0.0769730656989705,0.0191265515678513,0,0
-27,1,0.21476757414875,0.00550686087560899,0.00917810145934831,0,0
-26,0,0.260620145292793,0.0952803187432173,0.0218151234220097,0,0
-26,1,0.279626157794812,0.00673060773685543,0.0104018483205947,0,0
-25,0,0.236644496787253,0.0673984702565784,0.0268526773763307,0,0
-25,1,0.25086810655552,0.00795435459810187,0.00734248116747865,0,0
-24,0,0.251656811407594,0.0665051350478685,0.0362565601315789,0,0
-24,1,0.260046208014869,0.0104018483205947,0.016520582626827,0,0
-23,0,0.273656720605652,0.071488232266864,0.0288278048103824,0,0
-23,1,0.230064409914331,0.00244749372249288,0.0183562029186966,0,0
-22,0,0.355923103352944,0.0956755889793999,0.021613205189904,0,0
-22,1,0.257598714292376,0.00550686087560899,0.00734248116747865,0,0
-21,0,0.433965111935213,0.0947779706566756,0.0262591601486261,0,0
-21,1,0.357945956914584,0.00550686087560899,0.0116255951818412,0,0
-20,0,0.467389921829868,0.105636888429946,0.0620201028014003,0,0
-20,1,0.428923274866878,0.0116255951818412,0.0513973681723505,0,0
-19,0,0.36260598496221,0.133066562451354,0.048236430029751,0,0
-19,1,0.366512184943309,0.00611873430623221,0.0348767855455236,0,0
-18,0,0.256943397848178,0.0877328599764799,0.0180429237222175,0,0
-18,1,0.334694766550902,0.00428311401436254,0.00856622802872509,0,0
-17,0,0.282345935193932,0.0974830630934609,0.0184963219343093,0,0
-17,1,0.327964158814046,0.00917810145934831,0.00244749372249288,0,0
-16,0,0.374818366764019,0.114740953204189,0.0350505575998206,0,0
-16,1,0.268000562612971,0.0030593671531161,0.00978997488997153,0,0
-15,0,1.94096103355919,0.162468916413092,0.0246413667980583,0,0
-15,1,13.3718819528399,0.00795435459810187,0.0226393169330592,0,0
-14,0,0.573776355212327,0.199698967172792,0.0184596095284719,0,0
-14,1,0.46747130099614,0.00367124058373932,0.00673060773685543,0,0
-13,0,0.588524340510639,0.0950735055236666,0.0201092202974321,0,0
-13,1,0.358557830345207,0.0030593671531161,0.00428311401436254,0,0
-12,0,0.463717457499267,0.113388712922511,0.025471679043414,0,0
-12,1,0.656540191058716,0.00244749372249288,0.00673060773685543,0,0
-11,0,1.06983438288718,0.137169785677114,0.0215293785299086,0,0
-11,1,4.28066652064005,0.00795435459810187,0.00856622802872509,0,0
-10,0,1.52123788759516,0.119441364898236,0.035973874606631,0,0
-10,1,0.912303285059222,0.00428311401436254,0.0116255951818412,0,0
-9,0,2.25872770977847,0.11789393699219,0.0526052063244008,0,0
-9,1,0.444831984063081,0.00795435459810187,0.0269224309474217,0,0
-8,0,0.380472077262978,0.0688834870727009,0.0360099751390378,0,0
-8,1,0.30593671531161,0.00367124058373932,0.0104018483205947,0,0
-7,0,0.341236917271125,0.0556070573750383,0.0299267294917817,0,0
-7,1,0.240466258234926,0.00244749372249288,0.0146849623349573,0,0
